

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

139.053  000.087  000.087: sourcing /Users/mater/.vim/plugged/vim-gitgutter/autoload/gitgutter/highlight.vim
139.531  001.038  000.821: sourcing /Users/mater/.vim/plugged/vim-gitgutter/plugin/gitgutter.vim
140.249  000.630  000.630: sourcing /Users/mater/.vim/plugged/vim-fugitive/plugin/fugitive.vim
140.388  000.054  000.054: sourcing /Users/mater/.vim/plugged/vim-rhubarb/plugin/rhubarb.vim
141.178  000.705  000.705: sourcing /Users/mater/.vim/plugged/vim-dispatch/plugin/dispatch.vim
141.299  000.028  000.028: sourcing /Users/mater/.vim/plugged/firenvim/plugin/firenvim.vim
141.533  000.132  000.132: sourcing /Users/mater/.vim/plugged/jupytext.vim/plugin/jupytext.vim
141.670  000.056  000.056: sourcing /Users/mater/.vim/plugged/vim-slime/plugin/slime.vim
141.800  000.052  000.052: sourcing /Users/mater/.vim/plugged/codi.vim/plugin/codi.vim
142.058  000.044  000.044: sourcing /Users/mater/.vim/plugged/ultisnips/autoload/UltiSnips/map_keys.vim
142.098  000.215  000.171: sourcing /Users/mater/.vim/plugged/ultisnips/plugin/UltiSnips.vim
206.882  064.700  064.700: sourcing /Users/mater/.vim/plugged/vim-snippets/plugin/vimsnippets.vim
207.245  000.255  000.255: sourcing /Users/mater/.vim/plugged/swapit/plugin/swapit.vim
207.375  000.023  000.023: sourcing /Users/mater/.vim/plugged/nvim-jdtls/plugin/nvim_jdtls.vim
207.841  000.275  000.275: sourcing /Users/mater/.vim/plugged/distant.nvim/plugin/distant.vim
208.485  000.319  000.319: sourcing /Users/mater/.vim/plugged/copilot.vim/autoload/copilot.vim
208.509  000.570  000.251: sourcing /Users/mater/.vim/plugged/copilot.vim/plugin/copilot.vim
208.759  000.099  000.099: sourcing /Users/mater/.vim/plugged/vim-autoswap/plugin/autoswap.vim
208.877  000.027  000.027: sourcing /Users/mater/.vim/plugged/plenary.nvim/plugin/plenary.vim
209.349  000.382  000.382: sourcing /Users/mater/.vim/plugged/fzf/plugin/fzf.vim
209.903  000.452  000.452: sourcing /Users/mater/.vim/plugged/fzf.vim/plugin/fzf.vim
210.183  000.051  000.051: sourcing /Users/mater/.vim/plugged/vim-mundo/autoload/mundo/util.vim
210.372  000.362  000.311: sourcing /Users/mater/.vim/plugged/vim-mundo/plugin/mundo.vim
210.841  000.383  000.383: sourcing /Users/mater/.vim/plugged/nvim-ts-rainbow/plugin/rainbow.vim
210.966  000.017  000.017: sourcing /Users/mater/.vim/plugged/tabout.nvim/plugin/tabout.vim
211.324  000.273  000.273: sourcing /Users/mater/.vim/plugged/vim-surround/plugin/surround.vim
212.265  000.854  000.854: sourcing /Users/mater/.vim/plugged/nerdcommenter/plugin/nerdcommenter.vim
212.452  000.096  000.096: sourcing /Users/mater/.vim/plugged/vim-commentary/plugin/commentary.vim
212.876  000.339  000.339: sourcing /Users/mater/.vim/plugged/vim-eunuch/plugin/eunuch.vim
213.355  000.373  000.373: sourcing /Users/mater/.vim/plugged/vim-abolish/plugin/abolish.vim
213.460  000.014  000.014: sourcing /Users/mater/.vim/plugged/which-key.nvim/plugin/which-key.vim
213.662  000.113  000.113: sourcing /Users/mater/.vim/plugged/tabular/plugin/Tabular.vim
213.763  000.016  000.016: sourcing /Users/mater/.vim/plugged/nvim-bqf/plugin/bqf.vim
213.915  000.066  000.066: sourcing /Users/mater/.vim/plugged/vim-obsession/plugin/obsession.vim
214.462  000.248  000.248: sourcing /Users/mater/.vim/plugged/vim-textobj-user/autoload/textobj/user.vim
215.082  001.005  000.756: sourcing /Users/mater/.vim/plugged/vim-textobj-line/plugin/textobj/line.vim
215.810  000.586  000.586: sourcing /Users/mater/.vim/plugged/vim-textobj-entire/plugin/textobj/entire.vim
216.978  001.022  001.022: sourcing /Users/mater/.vim/plugged/vim-textobj-indent/plugin/textobj/indent.vim
217.209  000.128  000.128: sourcing /Users/mater/.vim/plugged/targets.vim/plugin/targets.vim
218.320  001.003  001.003: sourcing /Users/mater/.vim/plugged/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
218.464  000.024  000.024: sourcing /Users/mater/.vim/plugged/nvim-colorizer.lua/plugin/colorizer.vim
218.697  000.131  000.131: sourcing /Users/mater/.vim/plugged/vim-searchlight/plugin/searchlight.vim
218.911  000.130  000.130: sourcing /Users/mater/.vim/plugged/traces.vim/plugin/traces.vim
219.227  000.069  000.069: sourcing /Users/mater/.vim/plugged/vim-signature/autoload/signature/utils.vim
219.641  000.648  000.579: sourcing /Users/mater/.vim/plugged/vim-signature/plugin/signature.vim
219.801  000.077  000.077: sourcing /Users/mater/.vim/plugged/vim-startify/plugin/startify.vim
221.059  000.015  000.015: sourcing /Users/mater/.vim/plugged/vim-devicons/autoload/devicons/plugins/startify.vim
221.072  001.177  001.162: sourcing /Users/mater/.vim/plugged/vim-devicons/plugin/webdevicons.vim
221.189  000.022  000.022: sourcing /Users/mater/.vim/plugged/nvim-web-devicons/plugin/nvim-web-devicons.vim
221.362  000.021  000.021: sourcing /Users/mater/.vim/plugged/catppuccin/plugin/catppuccin.vim
221.397  000.013  000.013: sourcing /Users/mater/.vim/plugged/catppuccin/plugin/ctpcmds.vim
223.587  002.093  002.093: sourcing /Users/mater/.vim/plugged/vim-easymotion/plugin/EasyMotion.vim
223.867  000.196  000.196: sourcing /Users/mater/.vim/plugged/vim-move/plugin/move.vim
